['horapa', 'jinda', 'kaprao', 'kareang', 'kheenhu', 'manglug', 'nhum', 'saranae', 'shifa', 'yhira']
[0.9998148083686829, 1.672890732606902e-07, 0.00012191304995212704, 3.2350317979989995e-09, 5.53944857983879e-07, 6.191412103362381e-05, 1.2203392810161695e-11, 5.3263868871056275e-09, 5.595538823399693e-07, 1.230557789000386e-08], 2025-11-11T17:16:08.966387+00:00
[0.9971035122871399, 3.193659919853431e-11, 0.000582020846195519, 2.5001517300893283e-08, 3.4883399280261074e-08, 0.0023011774756014347, 7.145312674872173e-10, 1.7736061508344392e-09, 1.2948104995302856e-05, 1.8417155445149547e-07], 2025-11-11T17:17:10.911112+00:00
[0.40689218044281006, 8.864660048857331e-05, 0.5173611640930176, 1.8021117966782185e-06, 0.0008585984469391406, 0.07204900681972504, 2.43165402480372e-07, 0.0009971046820282936, 0.00173453229945153, 1.6765432519605383e-05], 2025-11-11T17:18:04.211059+00:00
[0.9518579244613647, 0.0012289572041481733, 0.024282004684209824, 6.358387963700807e-06, 0.002948819426819682, 0.018692221492528915, 7.249702775879996e-06, 1.2265186910553894e-07, 0.0009756998042576015, 6.161918122415955e-07], 2025-11-11T17:18:45.454758+00:00
[0.8991997241973877, 0.00875530019402504, 0.04922693595290184, 0.00022740541317034513, 0.01530747301876545, 0.026024911552667618, 3.890935659001116e-06, 2.9740134777966887e-05, 0.0005124813760630786, 0.000712105305865407], 2025-11-11T17:19:30.815656+00:00
[0.9005365967750549, 0.000539457134436816, 0.05751129239797592, 4.127622742089443e-05, 0.0018967724172398448, 0.03915983438491821, 7.77776658651419e-05, 0.00018425105372443795, 3.692250538733788e-05, 1.5841249478398822e-05], 2025-11-11T17:20:05.520332+00:00
[0.9143389463424683, 1.092023103410611e-05, 0.0018975873244926333, 0.0008663629414513707, 0.00035017196205444634, 0.017378535121679306, 0.0001672665384830907, 7.587378149764845e-06, 2.9901450034230947e-05, 0.0649527907371521], 2025-11-11T17:20:56.659553+00:00
[0.9759731292724609, 0.0013474252773448825, 0.0004350224626250565, 0.0016794393304735422, 0.0037681572139263153, 0.013551768846809864, 3.145074151689187e-05, 2.4454759568470763e-06, 1.2452557712094858e-05, 0.0031987084075808525], 2025-11-11T17:21:44.544596+00:00
[0.9601407051086426, 0.0002997737901750952, 0.017361178994178772, 1.7442430362279993e-06, 0.013143304735422134, 0.0009545271750539541, 4.108679149794625e-06, 1.3520416359824594e-05, 0.008035081438720226, 4.616907608578913e-05], 2025-11-11T17:22:29.237609+00:00
[0.9261423945426941, 0.00015034264652058482, 0.06526382267475128, 0.00011681058822432533, 7.463490328518674e-05, 0.005668755620718002, 5.618622367364878e-07, 1.679571823842707e-06, 0.00229932670481503, 0.0002817731292452663], 2025-11-11T17:23:46.191412+00:00

[0.9987298846244812, 1.7894353776526373e-09, 6.730787572450936e-05, 4.557071608957131e-09, 9.749881257903326e-08, 0.001202110666781664, 2.927183842538206e-11, 1.652437191523859e-07, 3.0715682441950776e-07, 5.018262783096361e-08], 2025-11-11T17:35:52.049824+00:00
[0.35003194212913513, 1.5053046809043735e-06, 0.0678323358297348, 2.9002919745835243e-06, 8.634119876660407e-05, 0.5803871154785156, 3.2608329547656467e-06, 7.900914624769939e-07, 0.0016002481570467353, 5.356657493393868e-05], 2025-11-11T17:36:23.656389+00:00
[0.6845500469207764, 1.0695214314182522e-06, 0.18314282596111298, 1.5705737723692437e-06, 0.0010047873947769403, 0.10883044451475143, 4.144016330087652e-08, 0.00021611897682305425, 0.022080402821302414, 0.0001726188784232363], 2025-11-11T17:37:05.739262+00:00
[0.9019973874092102, 2.3962968043633737e-05, 0.07248983532190323, 1.6962393374342355e-06, 0.000817157095298171, 0.023169128224253654, 6.865423074486898e-07, 5.476446403918089e-06, 0.001491075730882585, 3.5998671137349447e-06], 2025-11-11T17:38:05.632930+00:00
[0.009202235378324986, 8.770749815312229e-08, 4.887458999291994e-05, 2.552816340539721e-06, 4.442801946424879e-05, 0.9907008409500122, 3.335000187121295e-08, 7.888576192272012e-08, 1.3913231100559642e-07, 7.135246278267005e-07], 2025-11-11T17:38:48.520618+00:00
[0.18721379339694977, 1.771481379364559e-06, 0.7666256427764893, 3.851737346849404e-05, 0.002779059810563922, 0.043295152485370636, 1.4782068546992377e-06, 1.0121266313944943e-05, 2.446606958983466e-05, 9.984230928239413e-06], 2025-11-11T17:39:18.463200+00:00
[0.23032279312610626, 0.0008809262653812766, 0.0006456960109062493, 0.11553063243627548, 0.016650455072522163, 0.6270186305046082, 0.0017884742701426148, 2.3821827198844403e-05, 0.0009067566716112196, 0.006231717299669981], 2025-11-11T17:40:05.986083+00:00
[0.423658549785614, 0.0022269587498158216, 0.01790466345846653, 0.0003554300346877426, 0.013598941266536713, 0.5416733622550964, 0.00018189549155067652, 2.44977418333292e-05, 0.00015008186164777726, 0.00022562015510629863], 2025-11-11T17:40:47.329635+00:00
[0.5761444568634033, 9.435231731913518e-06, 0.21280263364315033, 1.8597413145471364e-05, 0.006872004363685846, 0.09664679318666458, 6.414867925741419e-07, 2.773380583676044e-05, 0.1074623167514801, 1.540639095765073e-05], 2025-11-11T17:41:23.803432+00:00
[0.8064501881599426, 0.00010809808009071276, 0.09107206761837006, 0.0001367943041259423, 0.0004613976925611496, 0.004683434031903744, 0.001459794701077044, 5.667500317940721e-06, 0.08910934627056122, 0.006513220723718405], 2025-11-11T17:42:29.483010+00:00

[0.9655910730361938, 1.8665061816136586e-06, 0.0336015522480011, 1.084908589632505e-07, 5.5031810006767046e-06, 0.0007777338614687324, 1.2858708764440507e-08, 4.430113676789915e-06, 1.2772515219694469e-05, 4.8649535528966226e-06], 2025-11-11T17:44:01.882322+00:00
[0.028395462781190872, 6.800974228227119e-10, 0.10969055444002151, 9.77750769237673e-09, 1.751540779082461e-08, 8.514031833328772e-06, 1.7424032217050467e-09, 0.8593605160713196, 8.425114401688916e-07, 0.002544105052947998], 2025-11-11T17:44:27.701585+00:00
[0.7616252899169922, 5.3408759413287044e-05, 0.04512987285852432, 7.31304510281916e-07, 0.010918989777565002, 0.1322893351316452, 2.7573623810894787e-06, 0.041441258043050766, 0.00748530263081193, 0.0010529538849368691], 2025-11-11T17:44:52.005285+00:00
[0.01806868612766266, 8.21795310912421e-07, 0.9524243474006653, 1.7271579054067843e-05, 8.512029307894409e-05, 0.024617426097393036, 0.0014168638736009598, 0.00041132658952847123, 0.00036397515214048326, 0.002594111952930689], 2025-11-11T17:45:23.629338+00:00
[0.43314239382743835, 0.00023856743064243346, 0.4542756676673889, 3.1536779715679586e-05, 0.0016519483178853989, 0.1060614362359047, 5.744329314438801e-07, 0.002981102094054222, 0.001277454779483378, 0.0003392794169485569], 2025-11-11T17:45:47.151333+00:00
[0.1313716024160385, 2.2370834358298453e-06, 0.5607690215110779, 2.0575964754243614e-06, 0.0010629977332428098, 0.0004607775481417775, 1.4071295026951702e-06, 0.14749759435653687, 0.0011514733778312802, 0.15768082439899445], 2025-11-11T17:46:14.555566+00:00
[0.03516453877091408, 8.561705300280664e-08, 0.00038655896787531674, 1.5557438018731773e-05, 3.306920189061202e-05, 0.0094503965228796, 4.9778554966906086e-06, 0.9505126476287842, 3.1984727684175596e-06, 0.004428979940712452], 2025-11-11T17:46:41.666341+00:00
[0.001052066101692617, 1.5585234223181033e-06, 0.01070493645966053, 0.024171708151698112, 2.6098699891008437e-05, 0.009529797360301018, 0.00010239075345452875, 0.5108591914176941, 5.073679403722053e-06, 0.4435471296310425], 2025-11-11T17:47:22.208069+00:00
[0.007716458290815353, 6.14580130786635e-06, 0.3644571006298065, 0.0035253234673291445, 8.911242912290618e-05, 0.014177655801177025, 0.041801076382398605, 0.0012186799431219697, 2.758971220373496e-07, 0.5670081377029419], 2025-11-11T17:48:00.669644+00:00
[0.0028496382292360067, 2.1457337425090373e-05, 0.1376163512468338, 0.0015862227883189917, 0.0019313915399834514, 0.5115568041801453, 0.0005779488128609955, 0.0010894309962168336, 7.995121364956503e-08, 0.34277060627937317], 2025-11-11T17:48:25.379910+00:00
